Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,1440,,,2144,
,3104,,,2112,
,1376,,,2176,
,2048,,,2145,
,1312,,,2304,
,2560,,,2176,
,2112,,,2111,
,2145,,,2144,
,2176,,,2144,
,2176,,,2144,
,2176,,,2144,
,2144,,,2144,
,2143,,,2272,
,2304,,,2112,
,2176,,,2144,
,2145,,,2112,
,2144,,,2144,
,2176,,,2113,
,2144,,,2144,
,2176,,,2144,
,2144,,,2271,
,2305,,,2144,
,2144,,,2560,
,2144,,,2176,
,2144,,,2144,
,2176,,,2112,
,2144,,,2144,
,2176,,,2144,
,2144,,,2144,
,2273,,,2144,
,2112,,,2271,
,4223,,,2144,
,4607,,,2145,
,1920,,,2144,
,1409,,,2144,
,1376,,,2144,
,1344,,,2176,
,3232,,,2144,
,1377,,,2271,
,1888,,,2112,
,1952,,,2144,
,1344,,,2113,
,2496,,,2144,
,1409,,,2145,
,3104,,,2144,
,1312,,,2112,
,2113,,,2271,
,1312,,,2144,
,2529,,,2528,
,2144,,,2176,
,2144,,,2112,
,2112,,,2177,
,2144,,,2144,
,2144,,,2144,
,2112,,,2144,
,2144,,,2144,
,2271,,,2304,
,2112,,,2145,
,2176,,,2144,
,2144,,,2112,
,2176,,,2176,
,2144,,,2144,
,2144,,,2145,
,2176,,,2144,
,2272,,,2272,
,2144,,,2177,
,2176,,,2144,
,2145,,,2111,
,2176,,,2145,
,2112,,,2176,
,2144,,,2145,
,2112,,,2176,
,2272,,,2272,
,2145,,,2112,
,4256,,,2528,
,4736,,,2177,
,1952,,,2144,
,1440,,,2144,
,1344,,,2144,
,1345,,,2144,
,3264,,,2112,
,1376,,,2112,
,1985,,,2272,
,1984,,,2176,
,1344,,,2144,
,2464,,,2144,
,1408,,,2176,
,3103,,,2112,
,1312,,,2144,
,2112,,,2175,
,1343,,,2272,
,2528,,,2112,
,2113,,,2144,
,2176,,,2176,
,2176,,,2176,
,2144,,,2144,
,2112,,,2176,
,2176,,,2145,
,2176,,,2272,
,2304,,,2112,
,2144,,,2592,
,2144,,,2144,
,2144,,,2144,
,2112,,,2144,
,2144,,,2144,
,2144,,,2144,
,2144,,,2144,
,2304,,,2144,
,2144,,,2272,
,2176,,,2176,
,2112,,,2113,
,2143,,,2144,
,2176,,,2144,
,2112,,,2143,
,2176,,,2144,
,2240,,,2176,
,2175,,,2304,
,4256,,,2144,
,4640,,,2144,
,1952,,,2176,
,1408,,,2144,
,1343,,,2111,
,1344,,,2112,
,3231,,,2144,
,1344,,,2272,
,1856,,,2112,
,1951,,,2529,
,1344,,,2112,
,2560,,,2240,
,1376,,,2145,
,3072,,,2144,
,1344,,,2144,
,2048,,,2113,
,1312,,,2144,
,2528,,,2271,
,2176,,,2175,
,2145,,,2112,
,2144,,,2176,
,2145,,,2176,
,2144,,,2144,
,2112,,,2112,
,2145,,,2144,
,2272,,,2272,
,2144,,,2111,
,2111,,,2112,
,2144,,,2112,
,2144,,,2144,
,2176,,,2144,
,2112,,,2145,
,2144,,,2176,
,2272,,,2240,
,2144,,,2144,
,2144,,,2528,
,2144,,,2145,
,2144,,,2208,
,2145,,,2144,
,2176,,,2176,
,2112,,,2144,
,2305,,,2144,
,2144,,,2144,
,4256,,,2304,
,4736,,,2144,
,1952,,,2144,
,1440,,,2144,
